scenario_id,policy_id,seed,shortfall_per_10k,post_shift_shortfall_per_10k,false_alarm,false_mitigation_ticks,missed_crisis,response_delay_ticks,mitigation_ticks,post_shift_ticks
reporting_and_timing_shift,never,41013,74080.0,184738.15461346632,False,0,True,401,0,401
reporting_and_timing_shift,never,41014,75500.0,188279.3017456359,False,0,True,401,0,401
reporting_and_timing_shift,never,41015,74550.0,185910.22443890275,False,0,True,401,0,401
reporting_and_timing_shift,never,41016,73930.0,184364.0897755611,False,0,True,401,0,401
reporting_and_timing_shift,never,41017,73890.0,184264.3391521197,False,0,True,401,0,401
reporting_and_timing_shift,never,41018,74730.0,186359.102244389,False,0,True,401,0,401
reporting_and_timing_shift,never,41019,74560.0,185935.1620947631,False,0,True,401,0,401
reporting_and_timing_shift,never,41020,74720.0,186334.16458852869,False,0,True,401,0,401
reporting_and_timing_shift,never,41021,74600.0,186034.9127182045,False,0,True,401,0,401
reporting_and_timing_shift,never,41022,74540.0,185885.2867830424,False,0,True,401,0,401
reporting_and_timing_shift,never,41023,75260.0,187680.79800498753,False,0,True,401,0,401
