seed,checkpoint,panel,map_seed,time_bucket,states,action_values,winnable_states,impossible_states,optimal_winnable_actions,abs_error_sum,squared_error_sum,signed_error_sum,action_regret_sum,winnable_regret_sum,impossible_regret_sum,mean_abs_q_error,rmse_q_error,q95_abs_q_error,mean_signed_q_bias,optimal_action_rate,mean_action_regret,winnable_mean_action_regret,impossible_action_regret
2,10000,train,300055,1-8,160,640,109,51,105,70.81934219507843,20.04393973430613,14.56067749439553,0.13847573075458008,0.13847573075458008,0.0,0.11065522217981005,0.17697077678208153,0.29120012314093885,0.022751058584993017,0.963302752293578,0.0008654733172161255,0.0012704195482071568,0.0
2,10000,train,300055,9-16,160,640,160,0,144,13.180054985159831,0.3959041545558061,-4.794534936009999,0.5593378907333193,0.5593378907333193,0.0,0.020593835914312235,0.024871675486252368,0.031190986692094382,-0.007491460837515623,0.9,0.0034958618170832455,0.0034958618170832455,
2,10000,train,300055,17-24,160,640,160,0,144,11.380177589598501,0.3057029755344334,-6.795476391374226,0.5625988713623187,0.5625988713623187,0.0,0.01778152748374766,0.02185545468006905,0.02745782715116465,-0.01061793186152223,0.9,0.0035162429460144917,0.0035162429460144917,
2,10000,train,300055,25-32,160,640,160,0,146,12.284228470814952,0.3549319175858374,-7.625402047692891,0.49227401244202884,0.49227401244202884,0.0,0.019194106985648364,0.02354954609388196,0.029034948408668472,-0.011914690699520142,0.9125,0.0030767125777626803,0.0030767125777626803,
2,10000,train,300056,all,640,2560,598,42,502,107.04499988941149,21.348153704399053,-1.1353561776634797,5.932687720314003,5.932687720314003,0.0,0.04181445308180136,0.09131879620746694,0.21013058576194557,-0.0004434985068997968,0.8394648829431438,0.00926982456299063,0.009920882475441477,0.0
2,10000,train,300056,1-8,160,640,118,42,104,70.4634346247528,20.209698082944136,5.988616155016208,2.296492029614,2.296492029614,0.0,0.11009911660117624,0.1777010220977927,0.33128296142372254,0.009357212742212826,0.8813559322033898,0.014353075185087499,0.019461796861135593,0.0
2,10000,train,300056,9-16,160,640,160,0,136,13.157793848868367,0.4270030728015388,0.4225967406552833,1.214366784800001,1.214366784800001,0.0,0.020559052888856823,0.025830065839103165,0.03303635919905283,0.0006603074072738802,0.85,0.007589792405000006,0.007589792405000006,
2,10000,train,300056,17-24,160,640,160,0,134,11.683594775089711,0.3536082589995418,-2.6353699684816796,0.9731579615000002,0.9731579615000002,0.0,0.018255616836077675,0.02350559305116091,0.029043384305005977,-0.004117765575752624,0.8375,0.006082237259375001,0.006082237259375001,
2,10000,train,300056,25-32,160,640,160,0,128,11.740176640700628,0.3578442896538367,-4.911199104853292,1.448670944400001,1.448670944400001,0.0,0.01834402600109473,0.023645965883932925,0.02654907548056211,-0.007673748601333269,0.8,0.009054193402500006,0.009054193402500006,
2,10000,train,300057,all,640,2560,578,62,555,100.18153899735358,20.971251121905112,-3.1465149580616494,2.4239086206872615,2.4239086206872615,0.0,0.03913341367084124,0.09050908777296446,0.20787170704284894,-0.0012291074054928317,0.9602076124567474,0.003787357219823846,0.004193613530600798,0.0
2,10000,train,300057,1-8,160,640,98,62,94,70.91112307303926,20.19589720085645,-1.1121141793971203,1.7588667600449703,1.7588667600449703,0.0,0.11079862980162385,0.17764033713190877,0.31202472670306963,-0.0017376784053080006,0.9591836734693877,0.010992917250281065,0.01794762000045888,0.0
2,10000,train,300057,9-16,160,640,160,0,160,9.853514048595624,0.31359842926162246,0.9572813055073617,0.0,0.0,0.0,0.015396115700930663,0.022135888184603866,0.024534517421693942,0.0014957520398552527,1.0,0.0,0.0,
2,10000,train,300057,17-24,160,640,160,0,159,9.150867959112857,0.2031902051980482,-0.594752297684014,0.03306898859568119,0.03306898859568119,0.0,0.014298231186113838,0.017818100224826168,0.02339878063631062,-0.0009293004651312719,0.99375,0.00020668117872300746,0.00020668117872300746,
