map_seed,repetition,step,current_row,action,reward,next_row,terminated,truncated,remaining,policy,q0,q1,q2,q3
300001,2,15,1169,3,0.03360000000000002,1200,0,0,18,random,,,,
300001,2,16,1200,0,-0.04520000000000001,1039,0,0,17,random,,,,
300001,2,17,1039,0,-0.005199999999999995,1038,0,0,16,random,,,,
300001,2,18,1038,2,-0.04399999999999999,1005,0,0,15,random,,,,
300001,2,19,1005,1,0.0348,1164,0,0,14,random,,,,
300001,2,20,1164,3,0.03360000000000002,1195,0,0,13,random,,,,
300001,2,21,1195,2,-0.04520000000000001,1162,0,0,12,random,,,,
300001,2,22,1162,2,-0.005199999999999995,1161,0,0,11,random,,,,
300001,2,23,1161,1,-0.005199999999999995,1160,0,0,10,random,,,,
300001,2,24,1160,3,0.03360000000000002,1191,0,0,9,random,,,,
300001,2,25,1191,1,-0.006399999999999997,1190,0,0,8,random,,,,
300001,2,26,1190,0,-0.04520000000000001,1029,0,0,7,random,,,,
300001,2,27,1029,3,0.03360000000000002,1060,0,0,6,random,,,,
300001,2,28,1060,1,0.03239999999999999,1219,0,0,5,random,,,,
300001,2,29,1219,1,-0.007599999999999997,1218,0,0,4,random,,,,
300001,2,30,1218,0,-0.04639999999999999,1057,0,0,3,random,,,,
300001,2,31,1057,0,-0.04520000000000001,928,0,0,2,random,,,,
300001,2,32,928,0,0.15000000000000002,-1,0,1,1,random,,,,
300001,3,1,959,0,-0.005199999999999995,958,0,0,32,random,,,,
300001,3,2,958,0,-0.005199999999999995,957,0,0,31,random,,,,
300001,3,3,957,1,0.03360000000000002,1084,0,0,30,random,,,,
300001,3,4,1084,3,0.03239999999999999,1115,0,0,29,random,,,,
300001,3,5,1115,1,0.031200000000000006,1274,0,0,28,random,,,,
300001,3,6,1274,2,-0.0476,1241,0,0,27,random,,,,
300001,3,7,1241,0,-0.04639999999999999,1080,0,0,26,random,,,,
300001,3,8,1080,2,-0.04520000000000001,1047,0,0,25,random,,,,
300001,3,9,1047,1,0.03360000000000002,1206,0,0,24,random,,,,
300001,3,10,1206,3,0.03239999999999999,1237,0,0,23,random,,,,
300001,3,11,1237,3,0.031200000000000006,1268,0,0,22,random,,,,
300001,3,12,1268,0,-0.0476,1107,0,0,21,random,,,,
300001,3,13,1107,2,-0.04639999999999999,1074,0,0,20,random,,,,
300001,3,14,1074,1,0.03239999999999999,1233,0,0,19,random,,,,
300001,3,15,1233,3,0.031200000000000006,1264,0,0,18,random,,,,
300001,3,16,1264,3,1.03,-1,1,0,17,random,,,,
300001,4,1,959,1,0.03360000000000002,1086,0,0,32,random,,,,
300001,4,2,1086,0,-0.04520000000000001,957,0,0,31,random,,,,
300001,4,3,957,2,-0.005199999999999995,956,0,0,30,random,,,,
300001,4,4,956,2,-0.005199999999999995,955,0,0,29,random,,,,
300001,4,5,955,1,0.03360000000000002,1082,0,0,28,random,,,,
300001,4,6,1082,3,0.03239999999999999,1113,0,0,27,random,,,,
